type,freq,data
balancesheet,annual,annualAccountsPayable
balancesheet,annual,annualAccountsReceivable
balancesheet,annual,annualAccumulatedDepreciation
balancesheet,annual,annualCapitalStock
balancesheet,annual,annualCashAndCashEquivalents
balancesheet,annual,annualCashCashEquivalentsAndShortTermInvestments
balancesheet,annual,annualCurrentAccruedExpenses
balancesheet,annual,annualCurrentAssets
balancesheet,annual,annualCurrentDebt
balancesheet,annual,annualCurrentDeferredRevenue
balancesheet,annual,annualCurrentLiabilities
balancesheet,annual,annualGainsLossesNotAffectingRetainedEarnings
balancesheet,annual,annualGoodwill
balancesheet,annual,annualGrossPPE
balancesheet,annual,annualIncomeTaxPayable
balancesheet,annual,annualInventory
balancesheet,annual,annualInvestmentsAndAdvances
balancesheet,annual,annualLongTermDebt
balancesheet,annual,annualNetPPE
balancesheet,annual,annualNonCurrentDeferredRevenue
balancesheet,annual,annualNonCurrentDeferredTaxesLiabilities
balancesheet,annual,annualOtherCurrentAssets
balancesheet,annual,annualOtherCurrentLiabilities
balancesheet,annual,annualOtherIntangibleAssets
balancesheet,annual,annualOtherNonCurrentAssets
balancesheet,annual,annualOtherNonCurrentLiabilities
balancesheet,annual,annualOtherShortTermInvestments
balancesheet,annual,annualRetainedEarnings
balancesheet,annual,annualStockholdersEquity
balancesheet,annual,annualTotalAssets
balancesheet,annual,annualTotalLiabilitiesNetMinorityInterest
balancesheet,annual,annualTotalNonCurrentAssets
balancesheet,annual,annualTotalNonCurrentLiabilitiesNetMinorityInterest
balancesheet,quarterly,quarterlyAccountsPayable
balancesheet,quarterly,quarterlyAccountsReceivable
balancesheet,quarterly,quarterlyAccumulatedDepreciation
balancesheet,quarterly,quarterlyCapitalStock
balancesheet,quarterly,quarterlyCashAndCashEquivalents
balancesheet,quarterly,quarterlyCashCashEquivalentsAndShortTermInvestments
balancesheet,quarterly,quarterlyCurrentAccruedExpenses
balancesheet,quarterly,quarterlyCurrentAssets
balancesheet,quarterly,quarterlyCurrentDebt
balancesheet,quarterly,quarterlyCurrentDeferredRevenue
balancesheet,quarterly,quarterlyCurrentLiabilities
balancesheet,quarterly,quarterlyGainsLossesNotAffectingRetainedEarnings
balancesheet,quarterly,quarterlyGoodwill
balancesheet,quarterly,quarterlyGrossPPE
balancesheet,quarterly,quarterlyIncomeTaxPayable
balancesheet,quarterly,quarterlyInventory
balancesheet,quarterly,quarterlyInvestmentsAndAdvances
balancesheet,quarterly,quarterlyLongTermDebt
balancesheet,quarterly,quarterlyNetPPE
balancesheet,quarterly,quarterlyNonCurrentDeferredRevenue
balancesheet,quarterly,quarterlyNonCurrentDeferredTaxesLiabilities
balancesheet,quarterly,quarterlyOtherCurrentAssets
balancesheet,quarterly,quarterlyOtherCurrentLiabilities
balancesheet,quarterly,quarterlyOtherIntangibleAssets
balancesheet,quarterly,quarterlyOtherNonCurrentAssets
balancesheet,quarterly,quarterlyOtherNonCurrentLiabilities
balancesheet,quarterly,quarterlyOtherShortTermInvestments
balancesheet,quarterly,quarterlyRetainedEarnings
balancesheet,quarterly,quarterlyStockholdersEquity
balancesheet,quarterly,quarterlyTotalAssets
balancesheet,quarterly,quarterlyTotalLiabilitiesNetMinorityInterest
balancesheet,quarterly,quarterlyTotalNonCurrentAssets
balancesheet,quarterly,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest
cashflow,annual,annualBeginningCashPosition
cashflow,annual,annualCapitalExpenditure
cashflow,annual,annualCashDividendsPaid
cashflow,annual,annualCashFlowFromContinuingFinancingActivities
cashflow,annual,annualChangeInAccountPayable
cashflow,annual,annualChangeInCashSupplementalAsReported
cashflow,annual,annualChangeInInventory
cashflow,annual,annualChangeInWorkingCapital
cashflow,annual,annualChangesInAccountReceivables
cashflow,annual,annualCommonStockIssuance
cashflow,annual,annualDeferredIncomeTax
cashflow,annual,annualDepreciationAndAmortization
cashflow,annual,annualEndCashPosition
cashflow,annual,annualFreeCashFlow
cashflow,annual,annualInvestingCashFlow
cashflow,annual,annualNetOtherFinancingCharges
cashflow,annual,annualNetOtherInvestingChanges
cashflow,annual,annualOperatingCashFlow
cashflow,annual,annualOtherNonCashItems
cashflow,annual,annualPurchaseOfBusiness
cashflow,annual,annualPurchaseOfInvestment
cashflow,annual,annualRepaymentOfDebt
cashflow,annual,annualRepurchaseOfCapitalStock
cashflow,annual,annualSaleOfInvestment
cashflow,annual,annualStockBasedCompensation
cashflow,TTM,trailingBeginningCashPosition
cashflow,TTM,trailingCapitalExpenditure
cashflow,TTM,trailingCashDividendsPaid
cashflow,TTM,trailingCashFlowFromContinuingFinancingActivities
cashflow,TTM,trailingChangeInAccountPayable
cashflow,TTM,trailingChangeInCashSupplementalAsReported
cashflow,TTM,trailingChangeInInventory
cashflow,TTM,trailingChangeInWorkingCapital
cashflow,TTM,trailingChangesInAccountReceivables
cashflow,TTM,trailingCommonStockIssuance
cashflow,TTM,trailingDeferredIncomeTax
cashflow,TTM,trailingDepreciationAndAmortization
cashflow,TTM,trailingEndCashPosition
cashflow,TTM,trailingFreeCashFlow
cashflow,TTM,trailingInvestingCashFlow
cashflow,TTM,trailingNetOtherFinancingCharges
